Zip,Potomac,Arlington,Hunt,Glen,Lat,Long,ID
20743,28.97958169,18.15402587,57.57018405,119.1662421,38.88423,-76.893317,1
20744,36.31861508,21.0570793,70.45621186,108.2437521,38.758324,-76.984032,1
20745,33.35342439,18.01545975,66.6310413,105.27794,38.806888,-76.99519,1
20746,28.71487691,16.07988368,64.10453975,110.2644562,38.836403,-76.918265,1
20747,30.70637653,16.97528179,59.29697889,114.6146868,38.854991,-76.883313,1
20748,34.25627897,23.39965452,62.84688133,110.6664844,38.814868,-76.933447,1
20762,33.07380665,20.14676824,61.66440901,112.4057067,38.809803,-76.869158,1
20769,26.16787006,24.38950129,49.90741546,124.7716455,38.996671,-76.818652,1
20770,19.52291001,21.99659488,47.87179838,125.1755378,39.002985,-76.879165,0
20772,38.09760523,27.2403594,59.7251047,121.0260107,38.780274,-76.76699,1
20774,30.23351187,27.45783986,58.82411423,119.5359588,38.874532,-76.774182,1
20781,18.73749487,17.82159146,53.76241192,116.5962444,38.95286,-76.94629,1
20782,17.0753228,19.62108691,52.02878199,118.3957399,38.96521,-76.968209,0
20783,14.93407235,26.89984714,49.88753153,125.3923969,38.997067,-76.966783,0
20785,26.12685946,18.02975133,54.71746182,119.754682,38.918291,-76.881948,1
20814,7.032075261,18.9897722,57.00473486,117.4829433,39.004839,-77.103004,0
20815,8.876930916,20.84208433,55.52213951,119.3352554,38.983386,-77.079337,0
20816,10.82058484,7.544707768,64.73212621,114.6308425,38.95695,-77.120006,1
20817,7.166913145,14.46866417,61.07845452,112.9612139,38.997279,-77.151816,0
20818,7.74478979,12.77666621,61.65633117,111.2698373,38.973486,-77.162389,0
20832,15.41066524,32.66618614,47.21376465,131.1593573,39.150349,-77.078251,0
20862,20.39656008,37.65208098,42.74795879,136.1452521,39.1808,-77.017395,0
20866,22.75218413,34.71733754,37.67072216,133.2105087,39.10928,-76.933948,0
20868,13.38747561,32.0721538,41.39585172,130.5647035,39.126503,-76.963796,0
20871,16.54342774,33.78962805,53.12799036,132.2827992,39.261341,-77.282547,0
20872,20.52394149,37.7701418,49.61039929,136.2633129,39.294465,-77.216125,0
20874,14.17661899,31.42281929,64.54260753,129.915369,39.133056,-77.301828,0
20876,14.93593647,32.18275815,51.33346589,130.6753079,39.208384,-77.237182,0
20877,8.797395205,26.04359551,56.43245057,124.5367666,39.140601,-77.19206,0
20878,8.749549505,28.38865622,60.73669952,126.8818273,39.112637,-77.250436,0
20879,11.56623212,28.81243243,52.7166416,127.3056035,39.167298,-77.164147,0
